"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"C0603C104Z3VACTU","KEMET","399-1100-1-ND","","","Cut Tape (CT)","Active","11","0.03200","$0.35","1445315","8 Weeks","CAP CER 0.1UF 25V Y5V 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C105K9PACTU","KEMET","399-7848-1-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","791","8 Weeks","CAP CER 1UF 6.3V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C225K4PACTU","KEMET","399-7886-1-ND","","","Cut Tape (CT)","Active","1","0.14000","$0.14","144321","17 Weeks","CAP CER 2.2UF 16V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTST-C191KRKT","Lite-On Inc.","160-1447-1-ND","","","Cut Tape (CT)","Active","1","0.26000","$0.26","273232","12 Weeks","LED RED CLEAR SMD","ROHS3 Compliant","Lead free","Not Available"
"MBR120VLSFT1G","ON Semiconductor","MBR120VLSFT1GOSCT-ND","","","Cut Tape (CT)","Active","1","0.44000","$0.44","44785","10 Weeks","DIODE SCHOTTKY 20V 1A SOD123FL","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADG609BRUZ","Analog Devices Inc.","ADG609BRUZ-ND","","","Tube","Active","2","6.28000","$12.56","585","8 Weeks","IC MULTIPLEXER DUAL 4X1 16TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"COM-13909","SparkFun Electronics","1568-1394-ND","","","Bulk","Active","1","5.95000","$5.95","201","2 Weeks","RX TXRX MODULE ISM < 1GHZ SMD","RoHS Compliant","Lead free","Not Available"
"ICM-20948","TDK InvenSense","1428-1123-1-ND","","","Cut Tape (CT)","Active","1","8.04000","$8.04","54546","16 Weeks","IMU ACCEL/GYRO/COMPI2C/SPI 24QFN","ROHS3 Compliant","Lead free","Not Available"
"U.FL-R-SMT(01)","Hirose Electric Co Ltd","H9161-ND","","","Bag","Active","1","1.31000","$1.31","9287","12 Weeks","CONN U.FL RCPT STR 50 OHM SMD","RoHS Compliant","Lead free","Not Available"
"FXP290.07.0100A","Taoglas Limited","931-1090-ND","","","Bag","Active","1","15.39000","$15.39","522","8 Weeks","RF ANT 915MHZ FLAT PATCH CAB ADH","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C103M5RACTU","KEMET","399-7842-1-ND","","","Cut Tape (CT)","Active","12","0.03500","$0.42","134781","8 Weeks","CAP CER 10000PF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"0530480810","Molex","WM1748-ND","","","Tray","Active","3","0.55000","$1.65","4033","15 Weeks","CONN HEADER R/A 8POS 1.25MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-071KL","Yageo","311-1.0KGRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","5034549","24 Weeks","RES SMD 1K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07287RL","Yageo","311-287HRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","116117","24 Weeks","RES SMD 287 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-072K2L","Yageo","311-2.20KHRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","6719168","24 Weeks","RES SMD 2.2K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-07470RL","Yageo","311-470HRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","3191441","24 Weeks","RES SMD 470 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-07100KL","Yageo","311-100KGRCT-ND","","","Cut Tape (CT)","Active","4","0.10000","$0.40","6535104","24 Weeks","RES SMD 100K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603JR-07200KL","Yageo","311-200KGRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","690101","24 Weeks","RES SMD 200K OHM 5% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"S2B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","455-1749-1-ND","","","Cut Tape (CT)","Active","1","0.58000","$0.58","45269","16 Weeks","CONN HEADER SMD R/A 2POS 2MM","ROHS3 Compliant","Lead free","REACH Unaffected"
